sep=,
"Time","""192.168.85.181:9100"""
2024-05-12 19:37:00,0.215
2024-05-12 19:37:15,0.215
2024-05-12 19:37:30,0.215
2024-05-12 19:37:45,0.215
2024-05-12 19:38:00,0.215
2024-05-12 19:38:15,0.215
2024-05-12 19:38:30,0.215
2024-05-12 19:38:45,0.215
2024-05-12 19:39:00,0.215
2024-05-12 19:39:15,0.215
2024-05-12 19:39:30,0.215
2024-05-12 19:39:45,0.215
2024-05-12 19:40:00,0.215
2024-05-12 19:40:15,0.215
2024-05-12 19:40:30,0.215
2024-05-12 19:40:45,0.215
2024-05-12 19:41:00,0.215
2024-05-12 19:41:15,0.215
2024-05-12 19:41:30,0.215
2024-05-12 19:41:45,0.215
2024-05-12 19:42:00,0.218
2024-05-12 19:42:15,0.218
2024-05-12 19:42:30,0.218
2024-05-12 19:42:45,0.218
2024-05-12 19:43:00,0.218
2024-05-12 19:43:15,0.218
2024-05-12 19:43:30,0.218
2024-05-12 19:43:45,0.218
2024-05-12 19:44:00,0.218
2024-05-12 19:44:15,0.218
2024-05-12 19:44:30,0.218
2024-05-12 19:44:45,0.218
2024-05-12 19:45:00,0.218
2024-05-12 19:45:15,0.218
2024-05-12 19:45:30,0.218
2024-05-12 19:45:45,0.218
2024-05-12 19:46:00,0.218
2024-05-12 19:46:15,0.218
2024-05-12 19:46:30,0.218
2024-05-12 19:46:45,0.218
2024-05-12 19:47:00,0.218
2024-05-12 19:47:15,0.218
2024-05-12 19:47:30,0.218
2024-05-12 19:47:45,0.218
2024-05-12 19:48:00,0.220
2024-05-12 19:48:15,0.220
2024-05-12 19:48:30,0.220
2024-05-12 19:48:45,0.220
2024-05-12 19:49:00,0.220
2024-05-12 19:49:15,0.220
2024-05-12 19:49:30,0.220
2024-05-12 19:49:45,0.220
2024-05-12 19:50:00,0.219
2024-05-12 19:50:15,0.219
2024-05-12 19:50:30,0.219
2024-05-12 19:50:45,0.219
2024-05-12 19:51:00,0.220
2024-05-12 19:51:15,0.220
2024-05-12 19:51:30,0.220
2024-05-12 19:51:45,0.220
2024-05-12 19:52:00,0.219
2024-05-12 19:52:15,0.219
2024-05-12 19:52:30,0.219
2024-05-12 19:52:45,0.219
2024-05-12 19:53:00,0.219
2024-05-12 19:53:15,0.219
2024-05-12 19:53:30,0.219
2024-05-12 19:53:45,0.219
2024-05-12 19:54:00,0.219
2024-05-12 19:54:15,0.219
2024-05-12 19:54:30,0.219
2024-05-12 19:54:45,0.219
2024-05-12 19:55:00,0.219
2024-05-12 19:55:15,0.219
2024-05-12 19:55:30,0.219
2024-05-12 19:55:45,0.219
2024-05-12 19:56:00,0.219
2024-05-12 19:56:15,0.219
2024-05-12 19:56:30,0.219
2024-05-12 19:56:45,0.219
2024-05-12 19:57:00,0.219
2024-05-12 19:57:15,0.219
2024-05-12 19:57:30,0.219
2024-05-12 19:57:45,0.219
2024-05-12 19:58:00,0.219
2024-05-12 19:58:15,0.219
2024-05-12 19:58:30,0.219
2024-05-12 19:58:45,0.219
2024-05-12 19:59:00,0.220
2024-05-12 19:59:15,0.220
2024-05-12 19:59:30,0.220
2024-05-12 19:59:45,0.220
2024-05-12 20:00:00,0.220
2024-05-12 20:00:15,0.220
2024-05-12 20:00:30,0.220
2024-05-12 20:00:45,0.220
2024-05-12 20:01:00,0.221
2024-05-12 20:01:15,0.221
2024-05-12 20:01:30,0.221
2024-05-12 20:01:45,0.221
2024-05-12 20:02:00,0.220
2024-05-12 20:02:15,0.220
2024-05-12 20:02:30,0.220
2024-05-12 20:02:45,0.220
2024-05-12 20:03:00,0.221
2024-05-12 20:03:15,0.221
2024-05-12 20:03:30,0.221
2024-05-12 20:03:45,0.221
2024-05-12 20:04:00,0.221
2024-05-12 20:04:15,0.221
2024-05-12 20:04:30,0.221
2024-05-12 20:04:45,0.221
2024-05-12 20:05:00,0.221
2024-05-12 20:05:15,0.221
2024-05-12 20:05:30,0.221
2024-05-12 20:05:45,0.221
2024-05-12 20:06:00,0.221
2024-05-12 20:06:15,0.221
2024-05-12 20:06:30,0.221
2024-05-12 20:06:45,0.221
2024-05-12 20:07:00,0.221
