sep=,
"Time","""ts-ticketinfo-service-7bf8fdb-2b4k6"""
2024-05-11 18:39:30,0.0127
2024-05-11 18:39:45,0.0126
2024-05-11 18:40:00,0.0128
2024-05-11 18:40:15,0.0131
2024-05-11 18:40:30,0.0131
2024-05-11 18:40:45,0.0129
2024-05-11 18:41:00,0.0128
2024-05-11 18:41:15,0.0128
2024-05-11 18:41:30,0.0129
2024-05-11 18:41:45,0.0125
2024-05-11 18:42:00,0.0126
2024-05-11 18:42:15,0.0125
2024-05-11 18:42:30,0.0128
2024-05-11 18:42:45,0.0126
2024-05-11 18:43:00,0.0124
2024-05-11 18:43:15,0.0125
2024-05-11 18:43:30,0.0121
2024-05-11 18:43:45,0.0119
2024-05-11 18:44:00,0.00449
2024-05-11 18:44:15,0.00361
2024-05-11 18:44:30,0.00371
2024-05-11 18:44:45,0.00388
2024-05-11 18:45:00,0.00379
2024-05-11 18:45:15,0.00401
2024-05-11 18:45:30,0.00417
2024-05-11 18:45:45,0.00416
2024-05-11 18:46:00,0.00419
2024-05-11 18:46:15,0.00420
2024-05-11 18:46:30,0.00417
2024-05-11 18:46:45,0.00417
2024-05-11 18:47:00,0.00420
2024-05-11 18:47:15,0.0173
2024-05-11 18:47:30,0.0931
2024-05-11 18:47:45,0.142
2024-05-11 18:48:00,0.200
2024-05-11 18:48:15,0.241
2024-05-11 18:48:30,0.290
2024-05-11 18:48:45,0.334
2024-05-11 18:49:00,0.395
2024-05-11 18:49:15,0.438
2024-05-11 18:49:30,0.433
2024-05-11 18:49:45,0.435
2024-05-11 18:50:00,0.429
2024-05-11 18:50:15,0.417
2024-05-11 18:50:30,0.414
2024-05-11 18:50:45,0.423
2024-05-11 18:51:00,0.417
2024-05-11 18:51:15,0.418
2024-05-11 18:51:30,0.423
2024-05-11 18:51:45,0.425
2024-05-11 18:52:00,0.408
2024-05-11 18:52:15,0.351
2024-05-11 18:52:30,0.289
2024-05-11 18:52:45,0.244
2024-05-11 18:53:00,0.186
2024-05-11 18:53:15,0.138
2024-05-11 18:53:30,0.0970
2024-05-11 18:53:45,0.0384
2024-05-11 18:54:00,0.00369
2024-05-11 18:54:15,0.00369
2024-05-11 18:54:30,0.00365
2024-05-11 18:54:45,0.00368
2024-05-11 18:55:00,0.00388
2024-05-11 18:55:15,0.00415
2024-05-11 18:55:30,0.00413
2024-05-11 18:55:45,0.00407
2024-05-11 18:56:00,0.00409
2024-05-11 18:56:15,0.00478
2024-05-11 18:56:30,0.00452
2024-05-11 18:56:45,0.00462
2024-05-11 18:57:00,0.00452
2024-05-11 18:57:15,0.00498
2024-05-11 18:57:30,0.00493
2024-05-11 18:57:45,0.00494
2024-05-11 18:58:00,0.00497
2024-05-11 18:58:15,0.00494
2024-05-11 18:58:30,0.00497
2024-05-11 18:58:45,0.00515
2024-05-11 18:59:00,0.00521
2024-05-11 18:59:15,0.00525
2024-05-11 18:59:30,0.00518
2024-05-11 18:59:45,0.00504
2024-05-11 19:00:00,0.00501
2024-05-11 19:00:15,0.00498
2024-05-11 19:00:30,0.00504
2024-05-11 19:00:45,0.00520
2024-05-11 19:01:00,0.0416
2024-05-11 19:01:15,0.109
2024-05-11 19:01:30,0.145
2024-05-11 19:01:45,0.200
2024-05-11 19:02:00,0.251
2024-05-11 19:02:15,0.326
2024-05-11 19:02:30,0.358
2024-05-11 19:02:45,0.437
2024-05-11 19:03:00,0.493
2024-05-11 19:03:15,0.536
2024-05-11 19:03:30,0.592
2024-05-11 19:03:45,0.623
2024-05-11 19:04:00,0.632
2024-05-11 19:04:15,0.627
2024-05-11 19:04:30,0.638
2024-05-11 19:04:45,0.617
2024-05-11 19:05:00,0.619
2024-05-11 19:05:15,0.622
2024-05-11 19:05:30,0.628
2024-05-11 19:05:45,0.584
2024-05-11 19:06:00,0.537
2024-05-11 19:06:15,0.465
2024-05-11 19:06:30,0.448
2024-05-11 19:06:45,0.381
2024-05-11 19:07:00,0.323
2024-05-11 19:07:15,0.261
2024-05-11 19:07:30,0.221
2024-05-11 19:07:45,0.144
2024-05-11 19:08:00,0.0885
2024-05-11 19:08:15,0.0667
2024-05-11 19:08:30,0.00583
2024-05-11 19:08:45,0.00374
2024-05-11 19:09:00,0.00341
2024-05-11 19:09:15,0.00345
2024-05-11 19:09:30,0.00339
