sep=,
"Time","""ts-ticketinfo-service-7bf8fdb-2b4k6"""
2024-05-11 18:39:45,215945216
2024-05-11 18:40:00,215941120
2024-05-11 18:40:15,215941120
2024-05-11 18:40:30,215941120
2024-05-11 18:40:45,215949312
2024-05-11 18:41:00,215949312
2024-05-11 18:41:15,215949312
2024-05-11 18:41:30,215949312
2024-05-11 18:41:45,215949312
2024-05-11 18:42:00,215945216
2024-05-11 18:42:15,215945216
2024-05-11 18:42:30,215945216
2024-05-11 18:42:45,215945216
2024-05-11 18:43:00,215851008
2024-05-11 18:43:15,215851008
2024-05-11 18:43:30,215855104
2024-05-11 18:43:45,215855104
2024-05-11 18:44:00,215855104
2024-05-11 18:44:15,215855104
2024-05-11 18:44:30,215883776
2024-05-11 18:44:45,216076288
2024-05-11 18:45:00,216076288
2024-05-11 18:45:15,216076288
2024-05-11 18:45:30,216076288
2024-05-11 18:45:45,216076288
2024-05-11 18:46:00,216076288
2024-05-11 18:46:15,215982080
2024-05-11 18:46:30,215982080
2024-05-11 18:46:45,215994368
2024-05-11 18:47:00,215994368
2024-05-11 18:47:15,523403264
2024-05-11 18:47:30,523403264
2024-05-11 18:47:45,523403264
2024-05-11 18:48:00,523403264
2024-05-11 18:48:15,351113216
2024-05-11 18:48:30,337829888
2024-05-11 18:48:45,523403264
2024-05-11 18:49:00,523403264
2024-05-11 18:49:15,216186880
2024-05-11 18:49:30,216207360
2024-05-11 18:49:45,216207360
2024-05-11 18:50:00,216207360
2024-05-11 18:50:15,216207360
2024-05-11 18:50:30,216207360
2024-05-11 18:50:45,216207360
2024-05-11 18:51:00,216207360
2024-05-11 18:51:15,216207360
2024-05-11 18:51:30,216207360
2024-05-11 18:51:45,216248320
2024-05-11 18:52:00,216248320
2024-05-11 18:52:15,216248320
2024-05-11 18:52:30,216248320
2024-05-11 18:52:45,216244224
2024-05-11 18:53:00,216248320
2024-05-11 18:53:15,216244224
2024-05-11 18:53:30,216248320
2024-05-11 18:53:45,216154112
2024-05-11 18:54:00,216154112
2024-05-11 18:54:15,216154112
2024-05-11 18:54:30,216154112
2024-05-11 18:54:45,216158208
2024-05-11 18:55:00,216154112
2024-05-11 18:55:15,216154112
2024-05-11 18:55:30,216154112
2024-05-11 18:55:45,216162304
2024-05-11 18:56:00,216158208
2024-05-11 18:56:15,216215552
2024-05-11 18:56:30,216215552
2024-05-11 18:56:45,216215552
2024-05-11 18:57:00,216215552
2024-05-11 18:57:15,216252416
2024-05-11 18:57:30,216252416
2024-05-11 18:57:45,216252416
2024-05-11 18:58:00,216252416
2024-05-11 18:58:15,216252416
2024-05-11 18:58:30,216252416
2024-05-11 18:58:45,216252416
2024-05-11 18:59:00,216449024
2024-05-11 18:59:15,216449024
2024-05-11 18:59:30,216449024
2024-05-11 18:59:45,216358912
2024-05-11 19:00:00,216358912
2024-05-11 19:00:15,216354816
2024-05-11 19:00:30,216354816
2024-05-11 19:00:45,216449024
2024-05-11 19:01:00,379219968
2024-05-11 19:01:15,248229888
2024-05-11 19:01:30,248229888
2024-05-11 19:01:45,269307904
2024-05-11 19:02:00,261652480
2024-05-11 19:02:15,501997568
2024-05-11 19:02:30,501997568
2024-05-11 19:02:45,320991232
2024-05-11 19:03:00,523403264
2024-05-11 19:03:15,361463808
2024-05-11 19:03:30,477396992
2024-05-11 19:03:45,216485888
2024-05-11 19:04:00,216485888
2024-05-11 19:04:15,216485888
2024-05-11 19:04:30,216485888
2024-05-11 19:04:45,216485888
2024-05-11 19:05:00,216485888
2024-05-11 19:05:15,216510464
2024-05-11 19:05:30,216510464
2024-05-11 19:05:45,216510464
2024-05-11 19:06:00,216510464
2024-05-11 19:06:15,216510464
2024-05-11 19:06:30,216506368
2024-05-11 19:06:45,216506368
2024-05-11 19:07:00,216506368
2024-05-11 19:07:15,216416256
2024-05-11 19:07:30,216416256
2024-05-11 19:07:45,216416256
2024-05-11 19:08:00,216416256
2024-05-11 19:08:15,216416256
2024-05-11 19:08:30,216416256
2024-05-11 19:08:45,216416256
2024-05-11 19:09:00,216416256
2024-05-11 19:09:15,216416256
2024-05-11 19:09:30,216416256
2024-05-11 19:09:45,216416256
