sep=,
"Time","""192.168.13.235:9100"""
2024-04-29 19:04:45,0.0229
2024-04-29 19:05:00,0.0217
2024-04-29 19:05:15,0.0217
2024-04-29 19:05:30,0.0217
2024-04-29 19:05:45,0.0217
2024-04-29 19:06:00,0.0172
2024-04-29 19:06:15,0.0172
2024-04-29 19:06:30,0.0172
2024-04-29 19:06:45,0.0172
2024-04-29 19:07:00,0.0257
2024-04-29 19:07:15,0.0257
2024-04-29 19:07:30,0.0257
2024-04-29 19:07:45,0.0257
2024-04-29 19:08:00,0.0199
2024-04-29 19:08:15,0.0199
2024-04-29 19:08:30,0.0199
2024-04-29 19:08:45,0.0199
2024-04-29 19:09:00,0.0236
2024-04-29 19:09:15,0.0236
2024-04-29 19:09:30,0.0236
2024-04-29 19:09:45,0.0236
2024-04-29 19:10:00,0.0294
2024-04-29 19:10:15,0.0294
2024-04-29 19:10:30,0.0294
2024-04-29 19:10:45,0.0294
2024-04-29 19:11:00,0.0194
2024-04-29 19:11:15,0.0194
2024-04-29 19:11:30,0.0194
2024-04-29 19:11:45,0.0194
2024-04-29 19:12:00,0.0238
2024-04-29 19:12:15,0.0238
2024-04-29 19:12:30,0.0238
2024-04-29 19:12:45,0.0238
2024-04-29 19:13:00,0.0186
2024-04-29 19:13:15,0.0186
2024-04-29 19:13:30,0.0186
2024-04-29 19:13:45,0.0186
2024-04-29 19:14:00,0.0174
2024-04-29 19:14:15,0.0174
2024-04-29 19:14:30,0.0174
2024-04-29 19:14:45,0.0174
2024-04-29 19:15:00,0.0183
2024-04-29 19:15:15,0.0183
2024-04-29 19:15:30,0.0183
2024-04-29 19:15:45,0.0183
2024-04-29 19:16:00,0.0195
2024-04-29 19:16:15,0.0195
2024-04-29 19:16:30,0.0195
2024-04-29 19:16:45,0.0195
2024-04-29 19:17:00,0.0332
2024-04-29 19:17:15,0.0332
2024-04-29 19:17:30,0.0332
2024-04-29 19:17:45,0.0332
2024-04-29 19:18:00,0.722
2024-04-29 19:18:15,0.722
2024-04-29 19:18:30,0.722
2024-04-29 19:18:45,0.722
2024-04-29 19:33:00,0.277
2024-04-29 19:33:15,0.277
2024-04-29 19:33:30,0.277
2024-04-29 19:33:45,0.277
