sep=,
"Time","""ts-preserve-service-5b6ddfd59f-bdc8m"""
2024-05-01 14:05:15,0.0439
2024-05-01 14:05:30,0.138
2024-05-01 14:05:45,0.119
2024-05-01 14:06:00,0.110
2024-05-01 14:06:15,0.106
2024-05-01 14:06:30,0.101
2024-05-01 14:06:45,0.102
2024-05-01 14:07:00,0.104
2024-05-01 14:07:15,0.106
2024-05-01 14:07:30,0.105
2024-05-01 14:07:45,0.105
2024-05-01 14:08:00,0.103
2024-05-01 14:08:15,0.104
2024-05-01 14:08:30,0.105
2024-05-01 14:08:45,0.104
2024-05-01 14:09:00,0.105
2024-05-01 14:09:15,0.105
2024-05-01 14:09:30,0.105
2024-05-01 14:09:45,0.107
2024-05-01 14:10:00,0.0825
2024-05-01 14:10:15,0.0176
2024-05-01 14:10:30,0.0130
2024-05-01 14:10:45,0.0125
2024-05-01 14:11:00,0.0124
2024-05-01 14:11:15,0.0122
2024-05-01 14:11:30,0.0119
2024-05-01 14:11:45,0.0115
2024-05-01 14:12:00,0.0110
2024-05-01 14:12:15,0.0111
2024-05-01 14:12:30,0.0109
2024-05-01 14:12:45,0.0106
2024-05-01 14:13:00,0.0102
2024-05-01 14:13:15,0.0103
2024-05-01 14:13:30,0.00996
2024-05-01 14:13:45,0.0101
2024-05-01 14:14:00,0.0101
2024-05-01 14:14:15,0.00981
2024-05-01 14:14:30,0.00965
2024-05-01 14:14:45,0.0127
2024-05-01 14:15:00,0.0136
2024-05-01 14:15:15,0.0134
2024-05-01 14:15:30,0.0134
2024-05-01 14:15:45,0.0132
2024-05-01 14:16:00,0.0135
2024-05-01 14:16:15,0.0140
2024-05-01 14:16:30,0.0144
2024-05-01 14:16:45,0.0146
2024-05-01 14:17:00,0.0147
2024-05-01 14:17:15,0.0146
2024-05-01 14:17:30,0.0146
2024-05-01 14:17:45,0.0145
2024-05-01 14:18:00,0.0146
2024-05-01 14:18:15,0.0139
2024-05-01 14:18:30,0.0140
2024-05-01 14:18:45,0.0136
2024-05-01 14:19:00,0.0133
2024-05-01 14:19:15,0.0132
2024-05-01 14:19:30,0.00979
2024-05-01 14:19:45,0.00882
2024-05-01 14:20:00,0.00890
2024-05-01 14:20:15,0.00895
2024-05-01 14:20:30,0.00893
2024-05-01 14:20:45,0.00838
2024-05-01 14:21:00,0.00862
2024-05-01 14:21:15,0.00823
2024-05-01 14:21:30,0.00796
2024-05-01 14:21:45,0.00849
2024-05-01 14:22:00,0.00853
2024-05-01 14:22:15,0.00877
2024-05-01 14:22:30,0.00895
2024-05-01 14:22:45,0.00885
2024-05-01 14:23:00,0.00996
2024-05-01 14:23:15,0.0584
2024-05-01 14:23:30,0.0962
2024-05-01 14:23:45,0.158
2024-05-01 14:24:00,0.212
2024-05-01 14:24:15,0.222
2024-05-01 14:24:30,0.222
2024-05-01 14:24:45,0.221
2024-05-01 14:25:00,0.225
2024-05-01 14:25:15,0.222
2024-05-01 14:25:30,0.221
2024-05-01 14:25:45,0.227
2024-05-01 14:26:00,0.226
2024-05-01 14:26:15,0.226
2024-05-01 14:26:30,0.220
2024-05-01 14:26:45,0.221
2024-05-01 14:27:00,0.218
2024-05-01 14:27:15,0.223
2024-05-01 14:27:30,0.216
2024-05-01 14:27:45,0.214
2024-05-01 14:28:00,0.167
2024-05-01 14:28:15,0.130
2024-05-01 14:28:30,0.0744
2024-05-01 14:28:45,0.0274
2024-05-01 14:29:00,0.0117
2024-05-01 14:29:15,0.0862
2024-05-01 14:29:30,0.113
2024-05-01 14:29:45,0.194
2024-05-01 14:30:00,0.216
2024-05-01 14:30:15,0.217
2024-05-01 14:30:30,0.217
2024-05-01 14:30:45,0.221
2024-05-01 14:31:00,0.224
2024-05-01 14:31:15,0.225
2024-05-01 14:31:30,0.220
2024-05-01 14:31:45,0.226
2024-05-01 14:32:00,0.228
2024-05-01 14:32:15,0.226
2024-05-01 14:32:30,0.231
2024-05-01 14:32:45,0.237
2024-05-01 14:33:00,0.233
2024-05-01 14:33:15,0.224
2024-05-01 14:33:30,0.221
2024-05-01 14:33:45,0.220
2024-05-01 14:34:00,0.163
2024-05-01 14:34:15,0.0891
2024-05-01 14:34:30,0.0565
2024-05-01 14:34:45,0.0137
2024-05-01 14:35:00,0.0117
2024-05-01 14:35:15,0.0116
2024-05-01 14:35:30,0.0108
2024-05-01 14:35:45,0.00932
2024-05-01 14:36:00,0.00833
2024-05-01 14:36:15,0.00825
2024-05-01 14:36:30,0.00749
2024-05-01 14:36:45,0.00748
2024-05-01 14:37:00,0.00720
2024-05-01 14:37:15,0.00653
2024-05-01 14:37:30,0.00650
2024-05-01 14:37:45,0.00657
2024-05-01 14:38:00,0.00651
2024-05-01 14:38:15,0.00609
2024-05-01 14:38:30,0.00606
2024-05-01 14:38:45,0.00584
2024-05-01 14:39:00,0.00577
2024-05-01 14:39:15,0.00578
2024-05-01 14:39:30,0.00591
2024-05-01 14:39:45,0.00593
2024-05-01 14:40:00,0.00545
2024-05-01 14:40:15,0.0230
2024-05-01 14:40:30,0.0700
2024-05-01 14:40:45,0.111
2024-05-01 14:41:00,0.174
2024-05-01 14:41:15,0.218
2024-05-01 14:41:30,0.221
2024-05-01 14:41:45,0.212
2024-05-01 14:42:00,0.216
2024-05-01 14:42:15,0.215
2024-05-01 14:42:30,0.216
2024-05-01 14:42:45,0.212
2024-05-01 14:43:00,0.215
2024-05-01 14:43:15,0.217
2024-05-01 14:43:30,0.223
2024-05-01 14:43:45,0.217
2024-05-01 14:44:00,0.215
2024-05-01 14:44:15,0.217
2024-05-01 14:44:30,0.215
2024-05-01 14:44:45,0.216
2024-05-01 14:45:00,0.201
2024-05-01 14:45:15,0.152
2024-05-01 14:45:30,0.111
2024-05-01 14:45:45,0.0500
2024-05-01 14:46:00,0.00412
2024-05-01 14:46:15,0.00391
2024-05-01 14:46:30,0.00355
2024-05-01 14:46:45,0.00324
2024-05-01 14:47:00,0.00307
2024-05-01 14:47:15,0.00284
2024-05-01 14:47:30,0.00263
2024-05-01 14:47:45,0.00213
2024-05-01 14:48:00,0.00186
2024-05-01 14:48:15,0.00169
2024-05-01 14:48:30,0.00155
2024-05-01 14:48:45,0.000301
