"Time","""ts-preserve-service-5b6ddfd59f-bdc8m"""
2024-05-01 14:05:00,4067328
2024-05-01 14:05:15,95162368
2024-05-01 14:05:30,194170880
2024-05-01 14:05:45,196317184
2024-05-01 14:06:00,197095424
2024-05-01 14:06:15,197783552
2024-05-01 14:06:30,198094848
2024-05-01 14:06:45,198094848
2024-05-01 14:07:00,198324224
2024-05-01 14:07:15,199041024
2024-05-01 14:07:30,199147520
2024-05-01 14:07:45,199344128
2024-05-01 14:08:00,199680000
2024-05-01 14:08:15,199794688
2024-05-01 14:08:30,199864320
2024-05-01 14:08:45,200151040
2024-05-01 14:09:00,200347648
2024-05-01 14:09:15,200556544
2024-05-01 14:09:30,200781824
2024-05-01 14:09:45,201039872
2024-05-01 14:10:00,200998912
2024-05-01 14:10:15,201101312
2024-05-01 14:10:30,201445376
2024-05-01 14:10:45,201547776
2024-05-01 14:11:00,201723904
2024-05-01 14:11:15,201764864
2024-05-01 14:11:30,201830400
2024-05-01 14:11:45,201965568
2024-05-01 14:12:00,202055680
2024-05-01 14:12:15,202080256
2024-05-01 14:12:30,202100736
2024-05-01 14:12:45,202407936
2024-05-01 14:13:00,202428416
2024-05-01 14:13:15,202477568
2024-05-01 14:13:30,202620928
2024-05-01 14:13:45,202653696
2024-05-01 14:14:00,202829824
2024-05-01 14:14:15,202911744
2024-05-01 14:14:30,203018240
2024-05-01 14:14:45,209346560
2024-05-01 14:15:00,209567744
2024-05-01 14:15:15,209641472
2024-05-01 14:15:30,210255872
2024-05-01 14:15:45,210280448
2024-05-01 14:16:00,210878464
2024-05-01 14:16:15,210964480
2024-05-01 14:16:30,211464192
2024-05-01 14:16:45,211464192
2024-05-01 14:17:00,211496960
2024-05-01 14:17:15,211701760
2024-05-01 14:17:30,211742720
2024-05-01 14:17:45,211804160
2024-05-01 14:18:00,211886080
2024-05-01 14:18:15,212054016
2024-05-01 14:18:30,212054016
2024-05-01 14:18:45,212205568
2024-05-01 14:19:00,212226048
2024-05-01 14:19:15,212340736
2024-05-01 14:19:30,212398080
2024-05-01 14:19:45,212398080
2024-05-01 14:20:00,212553728
2024-05-01 14:20:15,212692992
2024-05-01 14:20:30,212635648
2024-05-01 14:20:45,212570112
2024-05-01 14:21:00,212684800
2024-05-01 14:21:15,212930560
2024-05-01 14:21:30,212930560
2024-05-01 14:21:45,213323776
2024-05-01 14:22:00,213348352
2024-05-01 14:22:15,213479424
2024-05-01 14:22:30,213364736
2024-05-01 14:22:45,213590016
2024-05-01 14:23:00,214786048
2024-05-01 14:23:15,214818816
2024-05-01 14:23:30,214892544
2024-05-01 14:23:45,214908928
2024-05-01 14:24:00,214925312
2024-05-01 14:24:15,218992640
2024-05-01 14:24:30,219033600
2024-05-01 14:24:45,219090944
2024-05-01 14:25:00,219111424
2024-05-01 14:25:15,219193344
2024-05-01 14:25:30,219226112
2024-05-01 14:25:45,219328512
2024-05-01 14:26:00,219402240
2024-05-01 14:26:15,219418624
2024-05-01 14:26:30,219570176
2024-05-01 14:26:45,220774400
2024-05-01 14:27:00,220774400
2024-05-01 14:27:15,220774400
2024-05-01 14:27:30,220782592
2024-05-01 14:27:45,220811264
2024-05-01 14:28:00,220839936
2024-05-01 14:28:15,220839936
2024-05-01 14:28:30,221192192
2024-05-01 14:28:45,221646848
2024-05-01 14:29:00,221704192
2024-05-01 14:29:15,218619904
2024-05-01 14:29:30,218619904
2024-05-01 14:29:45,218550272
2024-05-01 14:30:00,222892032
2024-05-01 14:30:15,223641600
2024-05-01 14:30:30,223776768
2024-05-01 14:30:45,223784960
2024-05-01 14:31:00,225021952
2024-05-01 14:31:15,225107968
2024-05-01 14:31:30,225849344
2024-05-01 14:31:45,226066432
2024-05-01 14:32:00,226066432
2024-05-01 14:32:15,226373632
2024-05-01 14:32:30,226418688
2024-05-01 14:32:45,226418688
2024-05-01 14:33:00,226209792
2024-05-01 14:33:15,226226176
2024-05-01 14:33:30,226275328
2024-05-01 14:33:45,226279424
2024-05-01 14:34:00,226308096
2024-05-01 14:34:15,226308096
2024-05-01 14:34:30,226320384
2024-05-01 14:34:45,226328576
2024-05-01 14:35:00,226422784
2024-05-01 14:35:15,222388224
2024-05-01 14:35:30,222027776
2024-05-01 14:35:45,222158848
2024-05-01 14:36:00,222060544
2024-05-01 14:36:15,222040064
2024-05-01 14:36:30,222326784
2024-05-01 14:36:45,222326784
2024-05-01 14:37:00,222330880
2024-05-01 14:37:15,222392320
2024-05-01 14:37:30,222441472
2024-05-01 14:37:45,222474240
2024-05-01 14:38:00,222478336
2024-05-01 14:38:15,222478336
2024-05-01 14:38:30,222478336
2024-05-01 14:38:45,222478336
2024-05-01 14:39:00,222478336
2024-05-01 14:39:15,222486528
2024-05-01 14:39:30,222490624
2024-05-01 14:39:45,222494720
2024-05-01 14:40:00,222494720
2024-05-01 14:40:15,223309824
2024-05-01 14:40:30,223383552
2024-05-01 14:40:45,223506432
2024-05-01 14:41:00,223555584
2024-05-01 14:41:15,227569664
2024-05-01 14:41:30,227573760
2024-05-01 14:41:45,227737600
2024-05-01 14:42:00,227737600
2024-05-01 14:42:15,227762176
2024-05-01 14:42:30,227778560
2024-05-01 14:42:45,227799040
2024-05-01 14:43:00,227831808
2024-05-01 14:43:15,227856384
2024-05-01 14:43:30,227856384
2024-05-01 14:43:45,228814848
2024-05-01 14:44:00,228835328
2024-05-01 14:44:15,228835328
2024-05-01 14:44:30,228835328
2024-05-01 14:44:45,228835328
2024-05-01 14:45:00,228835328
2024-05-01 14:45:15,228835328
2024-05-01 14:45:30,228835328
2024-05-01 14:45:45,228835328
2024-05-01 14:46:00,228835328
2024-05-01 14:46:15,228835328
2024-05-01 14:46:30,228835328
2024-05-01 14:46:45,228835328
2024-05-01 14:47:00,228835328
2024-05-01 14:47:15,228835328
2024-05-01 14:47:30,228835328
2024-05-01 14:47:45,228835328
2024-05-01 14:48:00,228835328
2024-05-01 14:48:15,228835328
2024-05-01 14:48:30,228835328
2024-05-01 14:48:45,228835328
2024-05-01 14:49:00,228835328
